PLZ,Ort
15236,Treplin
15295,Brieskow-Finkenheerd
15295,Groß Lindow
15295,Wiesenau
15295,Ziltendorf
15299,Grunow-Dammendorf
15299,Mixdorf
15299,Müllrose
15306,Falkenhagen (Mark)
15306,Gusow-Platkow
15306,Lietzen
15306,Seelow
15306,Fichtenhöhe
15306,Lindendorf
15306,Vierlinden
15320,Neuhardenberg
15320,Neutrebbin
15324,Letschin
15326,Lebus
15326,Podelzig
15326,Zeschdorf
15328,Alt Tucheband
15328,Bleyen-Genschmar
15328,Golzow (Oderbruch)
15328,Küstriner Vorland
15328,Reitwein
15328,Zechin
15344,Strausberg
15345,Garzau-Garzin
15345,Rehfelde
15345,Reichenow-Möglin
15345,Altlandsberg
15345,Prötzel
15345,Petershagen/Eggersdorf
15345,Rüdersdorf bei Berlin
15366,Neuenhagen bei Berlin
15366,Hoppegarten
15370,Petershagen/Eggersdorf
15370,Fredersdorf-Vogelsdorf
15374,Müncheberg
15377,Buckow (Märkische Schweiz)
15377,Märkische Höhe
15377,Oberbarnim
15377,Waldsieversdorf
15378,Rüdersdorf bei Berlin
15517,Fürstenwalde/Spree
15518,Berkenbrück
15518,Briesen (Mark)
15518,Langewahl
15518,Rauen
15518,Steinhöfel
15526,Bad Saarow
15526,Reichenwalde
15528,Spreenhagen
15537,Erkner
15537,Gosen-Neu Zittau
15537,Grünheide (Mark)
15562,Rüdersdorf bei Berlin
15566,Schöneiche bei Berlin
15569,Woltersdorf bei Berlin
15711,Königs Wusterhausen
15712,Königs Wusterhausen
15713,Königs Wusterhausen
15732,Eichwalde
15732,Schulzendorf
15738,Zeuthen
15741,Bestensee
15745,Wildau
15746,Groß Köris
15748,Märkisch Buchholz
15748,Münchehofe
15749,Mittenwalde
15754,Heidesee
15755,Schwerin (Landkreis Dahme-Spreewald)
15755,Teupitz
15757,Halbe
15806,Zossen
15827,Blankenfelde-Mahlow
15831,Blankenfelde-Mahlow
15834,Rangsdorf
15837,Baruth/Mark
15838,Am Mellensee
15848,Beeskow
15848,Friedland (Niederlausitz)
15848,Ragow-Merz
15848,Rietz-Neuendorf
15848,Tauche
15859,Storkow (Mark)
15864,Diensdorf-Radlow
15864,Wendisch Rietz
15868,Jamlitz
15868,Lieberose
15890,Eisenhüttenstadt
15890,Vogelsang
15890,Schlaubetal
15890,Siehdichum
15898,Lawitz
15898,Neißemünde
15898,Neuzelle
15907,Lübben (Spreewald)
15910,Bersteland
15910,Krausnick-Groß Wasserburg
15910,Rietzneuendorf-Staakow
15910,Schlepzig
15910,Schönwald (Brandenburg)
15910,Unterspreewald
15913,Neu Zauche
15913,Straupitz
15913,Alt Zauche-Wußwerk
15913,Byhleguhre-Byhlen
15913,Märkische Heide
15913,Schwielochsee
15913,Spreewaldheide
15926,Luckau (Niederlausitz)
15926,Heideblick
15936,Dahme/Mark
15936,Dahmetal
15936,Ihlow (Fläming)
15938,Drahnsdorf
15938,Golßen
15938,Kasel-Golzig
15938,Steinreich
16225,Eberswalde
16227,Eberswalde
16230,Breydin
16230,Britz
16230,Chorin
16230,Melchow
16230,Sydower Fließ
16244,Schorfheide
16247,Althüttendorf
16247,Friedrichswalde
16247,Joachimsthal
16247,Ziethen
16248,Hohenfinow
16248,Liepe (Barnim)
16248,Lunow-Stolzenhagen
16248,Niederfinow
16248,Oderberg
16248,Parsteinsee
16259,Bad Freienwalde (Oder)
16259,Beiersdorf-Freudenberg
16259,Falkenberg (Mark)
16259,Heckelberg-Brunow
16259,Höhenland
16259,Neulewin
16259,Oderaue
16269,Wriezen
16269,Bliesdorf
16278,Angermünde
16278,Mark Landin
16278,Pinnow (Uckermark)
16278,Schöneberg (Uckermark)
16303,Schwedt/Oder
16306,Berkholz-Meyenburg
16306,Casekow
16306,Passow (Uckermark)
16306,Zichow
16306,Hohenselchow-Groß Pinnow
16307,Gartz (Oder)
16307,Mescherin
16307,Tantow
16321,Bernau bei Berlin
16321,Rüdnitz
16341,Panketal
16348,Marienwerder (Barnim)
16348,Wandlitz
16356,Ahrensfelde
16356,Werneuchen
16359,Biesenthal
16515,Oranienburg
16515,Mühlenbecker Land
16540,Hohen Neuendorf
16547,Birkenwerder
16548,Glienicke/Nordbahn
16552,Mühlenbecker Land
16556,Hohen Neuendorf
16559,Liebenwalde
16562,Hohen Neuendorf
16567,Mühlenbecker Land
16727,Oberkrämer
16727,Velten
16761,Hennigsdorf
16766,Kremmen
16767,Leegebruch
16775,Gransee
16775,Großwoltersdorf
16775,Löwenberger Land
16775,Schönermark (Land Ruppin)
16775,Sonnenberg (Brandenburg)
16775,Stechlin
16792,Zehdenick
16798,Fürstenberg/Havel
16816,Neuruppin
16818,Neuruppin
16818,Dabergotz
16818,Märkisch Linden
16818,Storbeck-Frankendorf
16818,Temnitzquell
16818,Walsleben (Brandenburg)
16818,Rheinsberg
16818,Fehrbellin
16827,Neuruppin
16831,Rheinsberg
16833,Neuruppin
16833,Fehrbellin
16835,Neuruppin
16835,Rheinsberg
16835,Herzberg (Mark)
16835,Lindow (Mark)
16835,Rüthnick
16835,Vielitzsee
16837,Rheinsberg
16845,Fehrbellin
16845,Breddin
16845,Dreetz (Brandenburg)
16845,Großderschau
16845,Neustadt (Dosse)
16845,Sieversdorf-Hohenofen
16845,Stüdenitz-Schönermark
16845,Temnitztal
16845,Zernitz-Lohm
16845,Wusterhausen/Dosse
16866,Wusterhausen/Dosse
16866,Gumtow
16866,Kyritz
16868,Wusterhausen/Dosse
16909,Heiligengrabe
16909,Wittstock/Dosse
16928,Gerdshagen
16928,Groß Pankow (Prignitz)
16928,Pritzwalk
16945,Halenbeck-Rohlsdorf
16945,Kümmernitztal
16945,Marienfließ
16945,Meyenburg
16949,Putlitz
16949,Triglitz
17268,Boitzenburger Land
17268,Flieth-Stegelitz
17268,Gerswalde
17268,Milmersdorf
17268,Mittenwalde (Uckermark)
17268,Temmen-Ringenwalde
17268,Templin
17279,Lychen
17291,Carmzow-Wallmow
17291,Göritz
17291,Gramzow
17291,Grünow bei Prenzlau
17291,Nordwestuckermark
17291,Oberuckersee
17291,Prenzlau
17291,Randowtal
17291,Schenkenberg (Uckermark)
17291,Schönfeld (Amt Brüssow)
17291,Uckerfelde
17326,Brüssow
17337,Uckerland
19309,Lanz (Prignitz)
19309,Lenzen (Elbe)
19309,Lenzerwische
19322,Breese
19322,Cumlosen
19322,Rühstädt
19322,Weisen
19322,Wittenberge
19336,Bad Wilsnack
19336,Legde/Quitzöbel
19339,Plattenburg
19348,Berge
19348,Gülitz-Reetz
19348,Perleberg
19348,Pirow
19357,Karstädt (Prignitz)
